"Date","Filename","Period","Country/Territory (User location)","Location type","Campaign","Currency","Clicks","Impressions","CTR","Avg. CPC","Cost","Impr. (Abs. Top) ","Impr. (Top) ","Conversions","View-through conv.","Cost / conv.","Conv. rate"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Greenland","Physical location","New App Promotion","USD",0,12,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Argentina","Physical location","New App Promotion","USD",96,8145,"1.18",0.03,2.79,"19.10","53.93",9,0,0.31,"9.18"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Samoa","Physical location","New App Promotion","USD",0,36,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Chile","Physical location","New App Promotion","USD",28,2430,"1.15",0.02,0.64,"0.00","0.00",2,0,0.32,"6.90"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Antigua and Barbuda","Physical location","New App Promotion","USD",3,175,"1.71",0.02,0.06,"100.00","100.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Cyprus","Physical location","New App Promotion","USD",12,932,"1.29",0.02,0.23,"0.00","0.00",1,0,0.23,"8.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Senegal","Physical location","New App Promotion","USD",82,3437,"2.39",0.03,2.64,"0.00","0.00",12,0,0.22,"14.29"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","El Salvador","Physical location","New App Promotion","USD",61,2082,"2.93",0.04,2.56,"0.00","0.00",8,0,0.32,"12.50"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Morocco","Physical location","New App Promotion","USD",486,27467,"1.77",0.03,14.99,"50.00","75.00",69,2,0.22,"13.19"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Benin","Physical location","New App Promotion","USD",60,1846,"3.25",0.03,1.5,"44.44","77.78",5,0,0.3,"8.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Belgium","Physical location","New App Promotion","USD",11,710,"1.55",0.06,0.71,"0.00","0.00",1,0,0.71,"9.09"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Egypt","Physical location","New App Promotion","USD",198,12522,"1.58",0.03,6.26,"0.00","100.00",22,0,0.28,"10.84"
